DATE,year,event_type,Country,lat,long,fatalities,Case
9/25/2020,2020,Protests,Kenya,-0.9838,36.5899,0,1
9/25/2020,2020,Protests,Kenya,-3.22,40.12,0,1
9/18/2020,2020,Protests,Kenya,-0.1282,37.9358,0,1
9/17/2020,2020,Violence against civilians,Kenya,1.7833,36.7833,1,1
9/16/2020,2020,Violence against civilians,Kenya,3.5042,41.1934,0,1
9/14/2020,2020,Protests,Kenya,1.0968,36.698,0,1
9/13/2020,2020,Violence against civilians,Kenya,-0.3574,35.8131,1,1
9/12/2020,2020,Strategic developments,Kenya,-0.4209,40.2201,3,1
9/11/2020,2020,Protests,Kenya,0.5167,35.2833,0,1
9/11/2020,2020,Violence against civilians,Kenya,4.2667,35.8833,4,1
9/10/2020,2020,Protests,Kenya,-0.3072,36.0723,0,1
9/10/2020,2020,Violence against civilians,Kenya,1.2389,35.1119,5,1
9/10/2020,2020,Violence against civilians,Kenya,1.2693,35.5557,1,1
9/9/2020,2020,Protests,Kenya,-1.05,36.9,0,1
9/8/2020,2020,Explosions/Remote violence,Kenya,3.5042,41.1934,0,1
9/3/2020,2020,Protests,Kenya,0.2321,37.9405,0,1
9/2/2020,2020,Violence against civilians,Kenya,0.2321,37.9405,0,1
9/1/2020,2020,Protests,Kenya,-0.3072,36.0723,0,1
8/31/2020,2020,Protests,Kenya,0.06,34.2861,0,1
8/25/2020,2020,Protests,Kenya,-4.05,39.6667,0,1
8/25/2020,2020,Protests,Kenya,0.4919,35.743,0,1
8/24/2020,2020,Protests,Kenya,-0.3072,36.0723,0,1
8/24/2020,2020,Protests,Kenya,0.2833,34.75,0,1
8/24/2020,2020,Protests,Kenya,-0.1,34.75,0,1
8/21/2020,2020,Protests,Kenya,-0.3895,35.897,0,1
8/21/2020,2020,Protests,Kenya,-1.2903,36.817,0,1
8/20/2020,2020,Protests,Kenya,-0.5666,34.9167,0,1
8/18/2020,2020,Protests,Kenya,-1.3667,38.0167,0,1
8/18/2020,2020,Violence against civilians,Kenya,-1.283,36.817,0,1
8/17/2020,2020,Protests,Kenya,1.0968,36.698,0,1
8/17/2020,2020,Protests,Kenya,0.5635,34.5606,0,1
8/17/2020,2020,Riots,Kenya,-1.283,36.817,2,1
8/15/2020,2020,Riots,Kenya,0.2833,34.75,0,1
